input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40BATEMAN000,32107051800030,TRANSPORTS BATEMAN FILS,0.6,CALCULATED,[],,,,,,,,,
40BBA0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BBFT000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BC00000000,35245429200066,B C TRANSPORTS,1.0,DIRECT_ID,[],,,,,,,,,
40BCD0000000,83140971900018,BCD FRUITS,1.0,DIRECT_ID,[],,,,,,,,,
40BECOMING00,38021028600023,BECOMING FRANCE,1.0,DIRECT_ID,[],,,,,,,,,
40BESSON FR0,,,0.0,NOT_FOUND,[],,,,,,,,,
40BESSON0000,56200257600022,ETABLISSEMENTS BESSON ET ALAPONT,1.0,DIRECT_ID,[],,,,,,,,,
40BESTWESTER,,,0.0,NOT_FOUND,[],,,,,,,,,
40BEUTTER000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BEVA000000,44360755100027,BEVA FRUITS,1.0,DIRECT_ID,[],,,,,,,,,
40BFLEVOLUTI,,,0.0,NOT_FOUND,[],,,,,,,,,
40BFLOGIST00,92298198000019,BF LOGISTIQUE,1.0,DIRECT_ID,[],,,,,,,,,
40BIDAUD0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BIOENERGIE,84434979500014,BIOENERGIES DE L'OURCQ,1.0,DIRECT_ID,[],,,,,,,,,
40BIONERVAL0,,,0.0,NOT_FOUND,[],,,,,,,,,
40BIZERBA000,31420920600015,BIZERBA FRANCE SA,1.0,DIRECT_ID,[],,,,,,,,,
40BLAMPIN000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BLANCAVOCA,,,0.0,NOT_FOUND,[],,,,,,,,,
40BNPLEASEGR,,,0.0,NOT_FOUND,"[""94090600100018"", ""79944091200019"", ""52452300800026"", ""92777749000016"", ""68200190400015""]",,,,,,,,,
40BOISBAUDRY,,,0.0,NOT_FOUND,[],,,,,,,,,
40BOLLOREAFR,,,0.0,NOT_FOUND,[],,,,,,,,,
40BONIFA0000,34876874800017,BONIFACCI FRERES,1.0,DIRECT_ID,[],,,,,,,,,
40BONZI00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BOPLAN0000,49260151300046,BOPLAN FRANCE,1.0,DIRECT_ID,[],,,,,,,,,
40BOSC000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BPROC00000,92795127700015,PROMESS,0.95,STRICT_LOCAL,[],,,,,,,,,
40BRASFRUIT0,,,0.0,NOT_FOUND,[],,,,,,,,,
40BRATIG0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40BRESTBRETA,42031527700046,BREST BRETAGNE HANDBALL,1.0,DIRECT_ID,[],,,,,,,,,
40BRISTOL000,81097703300010,BRISTOL CAB,1.0,DIRECT_ID,[],,,,,,,,,
40BRUNEA0000,34395813800012,JM. BRUNEAU,1.0,DIRECT_ID,[],,,,,,,,,
40BSCOMMUNIC,,,0.0,NOT_FOUND,[],,,,,,,,,
40BTTRANSPOR,87886742300021,B&T TRANSPORT,1.0,DIRECT_ID,[],,,,,,,,,
40BULTEAU000,44027921400108,SAS BULTEAU SYSTEMS,1.0,DIRECT_ID,[],,,,,,,,,
40BURBANPALE,,,0.0,NOT_FOUND,[],,,,,,,,,
40BUROLIA000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40BUTTERFLY0,88754006000019,BUTTERFLY,0.95,STRICT_LOCAL,[],,,,,,,,,
40CADEI00000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CAFERICHAR,43257346700011,CAFES RICHARD,1.0,DIRECT_ID,[],,,,,,,,,
40CALLBENTPS,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CALLIMEDIA,50962338500010,CALLIMEDIA,1.0,DIRECT_ID,[],,,,,,,,,
40CAMAND0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CANOVA0000,59206659100013,SOCIETE CANOVAS ET CIE,1.0,DIRECT_ID,[],,,,,,,,,
40CAPEXO0000,40770147300032,CAPEXO,1.0,DIRECT_ID,[],,,,,,,,,
40CAPOSUD000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CARDELL000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CARREF0000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CASINO0000,42826724900020,CASINO SERVICES,1.0,DIRECT_ID,[],,,,,,,,,
40CB INTÉRIM,98150231300019,AT INTERIM,0.95,STRICT_LOCAL,[],,,,,,,,,
40CBRE000000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CBS0000000,52335695400017,GTMG,1.0,DIRECT_ID,[],,,,,,,,,
40CCIFRANCE0,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CEDRESCO00,,,0.0,NOT_FOUND,[],,,,,,,,,
40CEGID00000,41021801000032,CEGID,1.0,DIRECT_ID,[],,,,,,,,,
40CEMLOC0000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CENPAC0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CERECO0000,38013591300016,CENTRE DE RECHERCHE ET DE CONSEIL CERECO,1.0,DIRECT_ID,[],,,,,,,,,
40CERRO00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CFS0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CHABAS0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CHALLENGE0,,,0.0,NOT_FOUND,[],,,,,,,,,
40CHAMPA0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CHARLESGIL,90877345000014,CHARLES GILLET,0.95,STRICT_LOCAL,[],,,,,,,,,
40CHARRAIRE0,90850340200012,CHARRAIRE IMMO,0.6,GEMINI_ARBITER,"[""88497341300013""]",,,,,,,,,
40CHEP000000,31905175100182,CHEP FRANCE HOLDING,0.6,CALCULATED,[],,,,,,,,,
40CHERITEL00,,,0.0,NOT_FOUND,[],,,,,,,,,
40CHRONOPRIM,38098660400037,CHRONOPRIMEURS,1.0,DIRECT_ID,[],,,,,,,,,
40CHRSHOP000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CIAMS00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CIAMT00000,78434698300017,CENTRE INTER MEDECINE TRAVAIL,1.0,DIRECT_ID,[],,,,,,,,,
40CIEFRUITFR,,,0.0,NOT_FOUND,[],,,,,,,,,
40CIEFRUITIE,05781875900011,COMPAGNIE FRUITIERE IMPORT,1.0,DIRECT_ID,[],,,,,,,,,
40CINQSURCIN,44055698300045,CINQ SUR CINQ SECURITE,1.0,DIRECT_ID,[],,,,,,,,,
40CIRAD00000,33159627000040,CTRE COOP INTERNAT RECHERCHE AGRO DEV,1.0,DIRECT_ID,[],,,,,,,,,
40CLAIRE0000,49476549800014,CLAIRE,1.0,DIRECT_ID,[],,,,,,,,,
40CLARILOG00,85265518200024,CLARILOG GROUPE,0.6,GEMINI_ARBITER,"[""53817906000024""]",,,,,,,,,
40CLASSCROUT,38290907500048,B2PH,1.0,DIRECT_ID,[],,,,,,,,,
40CLP0000000,44511927400022,CLP,1.0,DIRECT_ID,[],,,,,,,,,
40CMA0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CMTRANSPOR,84853930000022,CM TRANS,1.0,DIRECT_ID,[],,,,,,,,,
40COGIT00000,40249970100090,COGIT LGC,1.0,DIRECT_ID,[],,,,,,,,,
40COMTESSE00,,,0.0,NOT_FOUND,[],,,,,,,,,
40CONECTIA00,89481583600016,CONECTIA SURETE,1.0,DIRECT_ID,[],,,,,,,,,
40CONECTIACO,48379377400066,CONVERTECH,1.0,DIRECT_ID,[],,,,,,,,,
40CONECTIATE,89491132000014,CONECTIA TELECOM,1.0,DIRECT_ID,[],,,,,,,,,
40CONHEXA000,,,0.0,NOT_FOUND,"[""39823018500025""]",,,,,,,,,
